Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00047471596277756,6.93145970603881E-06,0.0184356040161808,0,0,0,0.709508215614969,0.0011478116985688,-4.68221897322115E-08,-2.94406358458754E-07,0.00117554092618515,7.86804297849271E-08,0.00215046347527902,0,0,0,0,0,0,package://panther_urdf/meshes/base_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://panther_urdf/meshes/base_link.STL,,UR10e_B-1,Coordinate System7,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
forearm_link,0.00235418490933147,0.00857255002587695,0.124469858531248,0,0,0,3.43106158144225,0.0111168711265614,-0.000168802691735969,-0.000299496536540626,0.0105485377979032,-0.00109085926242037,0.0108719292330829,0,0,0,0,0,0,package://panther_urdf/meshes/forearm_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://panther_urdf/meshes/forearm_link.STL,,UR10e_4_JNT-1;UR10e_4_CVR-1,Coordinate System7,Axis2,elbow_joint,revolute,0,0,0,0,0,0,base_link,0,0,1,300,3,0,3.142,,,,,,,,
upper_arm_link,2.6374222194897E-05,0.288028213736374,0.0640812802262588,0,0,0,5.76598845768885,0.0535931655303002,-1.33847189669432E-05,4.93622585737066E-06,0.00779524275661101,2.32856181880412E-07,0.0538768005868116,0,0,0,0,0,0,package://panther_urdf/meshes/upper_arm_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://panther_urdf/meshes/upper_arm_link.STL,,UR10e_3_JNT-1;UR10e_3_CVR-1;UR10e_LA-1;UR10e_3_JNT-2;UR10e_3_CVR-3,Coordinate System8,Axis1,shoulder_lift_joint,revolute,0.0573482780233897,0.208897776409476,0.130478612153435,1.5707963267949,0,-0.26792729552756,forearm_link,0,0,-1,200,3,-1.57,1.57,,,,,,,,
shoulder_link,0.24625690700553,0.00038791510590841,-0.0649023731311411,0,0,0,4.97837026325909,0.00585035770850532,6.63685228053646E-09,-0.000200012242224393,0.051561915293179,-1.52612804186033E-08,0.0517818287178346,0,0,0,0,0,0,package://panther_urdf/meshes/shoulder_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://panther_urdf/meshes/shoulder_link.STL,,UR10e_3_ELBW-2;UR10e_3_CVR-4;UR10e_LA-2;UR10e_2_JNT-1;UR10e_2_CVR-1,Coordinate System3,Axis4,shoulder_pan_joint,revolute,0.0130528773762752,0.581033387846565,0.254748304369017,0,0.0347928578488272,0,upper_arm_link,0,0,-1,200,3,-1.57,1.57,,,,,,,,
wrist_1_link,0.0387570008333681,0.00321228579265564,-0.161064934873586,0,0,0,0.838415771688282,0.00103392576544764,-3.03375319327428E-05,1.6347965728039E-05,0.000964399212835615,0.000127738626625048,0.000968948432078433,0,0,0,0,0,0,package://panther_urdf/meshes/wrist_1_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://panther_urdf/meshes/wrist_1_link.STL,,UR10e_2_JNT-2;UR10e_2_CVR-2,Coordinate System4,Axis8,wrist_1_joint,revolute,0.564743829482923,0.000387999999999833,-0.00907155684199412,0,0.233134437678733,0,shoulder_link,-0.231028295268486,0,0.972947031849801,200,3,-1.57,1.57,,,,,,,,
wrist_2_link,0.00340385985301095,0.000485245565873177,0.165853929608396,0,0,0,0.838415772574633,0.00096591824106628,1.04503232632636E-05,-0.000129924206136089,0.00103628698163325,1.88987381158496E-05,0.000965067812306471,0,0,0,0,0,0,package://panther_urdf/meshes/wrist_2_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://panther_urdf/meshes/wrist_2_link.STL,,UR10e_2_JNT-3;UR10e_2_CVR-3,Coordinate System6,Axis6,wrist_2_joint,revolute,0.0398550122506154,-0.0558801281680077,-0.165688442967764,-1.5707963267949,0,0,wrist_1_link,0,0,-1,100,2,-1.57,1.57,,,,,,,,
wrist_3_link,0.000179864158414075,-4.49521605809799E-05,-0.130619959648333,0,0,0,0.159318682448643,8.22388813747915E-05,1.07233996620026E-06,8.72788824078102E-08,8.75708463879807E-05,4.50955551179857E-07,0.000149755723758847,0,0,0,0,0,0,package://panther_urdf/meshes/wrist_3_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://panther_urdf/meshes/wrist_3_link.STL,,UR10e_TF-1,Coordinate System5,Axis7,wrist_3_joint,revolute,-0.0550732044088081,0.00899090628559696,0.170606030818962,-1.5707963267949,0,1.4263586520871,wrist_2_link,0,0,1,50,2,0,3.142,,,,,,,,
