Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00047472,6.9315E-06,0.018436,0,0,0,0.70951,0.0011478,-4.6822E-08,-2.9441E-07,0.0011755,7.868E-08,0.0021505,0,0,0,0,0,0,package://realll_urdf/meshes/base_link.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://realll_urdf/meshes/base_link.STL,,UR10e_B-1,Coordinate System7,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.0023542,0.0085726,0.12447,0,0,0,3.4311,0.011117,-0.0001688,-0.0002995,0.010549,-0.0010909,0.010872,0,0,0,0,0,0,package://realll_urdf/meshes/Link_1.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://realll_urdf/meshes/Link_1.STL,,UR10e_4_JNT-1;UR10e_4_CVR-1,Coordinate System7,Axis2,Joint_1,revolute,0,0,0,0,0,0,base_link,0,0,1,300,3,0,3.142,,,,,,,,
Link_2,4.1795E-07,-0.076521,0.14802,0,0,0,1.5487,0.002778,-4.2325E-09,2.0685E-08,0.0026285,-0.00038502,0.00292,0,0,0,0,0,0,package://realll_urdf/meshes/Link_2.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://realll_urdf/meshes/Link_2.STL,,UR10e_3_JNT-1;UR10e_3_CVR-1,Coordinate System2,Axis1,Joint_2,revolute,0.00081755,0.002978,0.21171,1.5708,0,2.8737,Link_1,0,0,1,200,3,-1.57,1.57,,,,,,,,
Link_3,0.0016204,0.00038775,-0.063393,0,0,0,1.4714,0.0023471,3.5886E-09,-0.0003313,0.002487,-2.0842E-08,0.0027804,0,0,0,0,0,0,package://realll_urdf/meshes/Link_3.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://realll_urdf/meshes/Link_3.STL,,UR10e_3_ELBW-2;UR10e_3_CVR-4,Coordinate System3,Axis4,Joint_3,revolute,-0.013053,0.4998,-0.04121,-3.1416,-0.034793,3.1416,Link_2,0,0,-1,200,3,-1.57,1.57,,,,,,,,
Link_4,0.038757,0.0032123,-0.16106,0,0,0,0.83842,0.0010339,-3.0338E-05,1.6348E-05,0.0009644,0.00012774,0.00096895,0,0,0,0,0,0,package://realll_urdf/meshes/Link_4.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://realll_urdf/meshes/Link_4.STL,,UR10e_2_JNT-2;UR10e_2_CVR-2,Coordinate System4,Axis8,Joint_4,revolute,0.56474,0.000388,-0.0090716,0,0.23313,0,Link_3,-0.23103,0,0.97295,200,3,-1.57,1.57,,,,,,,,
Link_5,0.0034039,0.00048525,0.16585,0,0,0,0.83842,0.00096592,1.045E-05,-0.00012992,0.0010363,1.8899E-05,0.00096507,0,0,0,0,0,0,package://realll_urdf/meshes/Link_5.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://realll_urdf/meshes/Link_5.STL,,UR10e_2_JNT-3;UR10e_2_CVR-3,Coordinate System6,Axis6,Joint_5,revolute,0.039855,-0.05588,-0.16569,-1.5708,0,0,Link_4,0,0,-1,100,2,-1.57,1.57,,,,,,,,
Link_6,0.00017986,-4.4952E-05,-0.13062,0,0,0,0.15932,8.2239E-05,1.0723E-06,8.7279E-08,8.7571E-05,4.5096E-07,0.00014976,0,0,0,0,0,0,package://realll_urdf/meshes/Link_6.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://realll_urdf/meshes/Link_6.STL,,UR10e_TF-1,Coordinate System5,Axis7,Joint_6,revolute,-0.055073,0.0089909,0.17061,-1.5708,0,1.4264,Link_5,0,0,1,50,2,0,3.142,,,,,,,,
