Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00047472,6.9315E-06,0.018436,0,0,0,0.70951,0.0011478,-4.6822E-08,-2.9441E-07,0.0011755,7.868E-08,0.0021505,0,0,0,0,0,0,package://logic_urdf/meshes/base_link.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://logic_urdf/meshes/base_link.STL,,UR10e_B-1,Coordinate System7,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.0023542,0.0085726,0.12447,0,0,0,3.4311,0.011117,-0.0001688,-0.0002995,0.010549,-0.0010909,0.010872,0,0,0,0,0,0,package://logic_urdf/meshes/Link_1.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://logic_urdf/meshes/Link_1.STL,,UR10e_4_JNT-1;UR10e_4_CVR-1,Coordinate System7,Axis2,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,1,300,3,0,3.142,,,,,,,,
Link_2,2.6374E-05,0.28803,0.064081,0,0,0,5.766,0.053593,-1.3385E-05,4.9362E-06,0.0077952,2.3286E-07,0.053877,0,0,0,0,0,0,package://logic_urdf/meshes/Link_2.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://logic_urdf/meshes/Link_2.STL,,UR10e_3_JNT-1;UR10e_3_CVR-1;UR10e_LA-1;UR10e_3_JNT-2;UR10e_3_CVR-3,Coordinate System8,Axis1,joint_2,revolute,0.0573482780233897,0.208897776409476,0.130478612153435,1.5707963267949,0,-0.26792729552756,Link_1,0,0,-1,200,3,-1.57,1.57,,,,,,,,
Link_3,0.24625690700553,0.000387915105908299,-0.0649023731311412,0,0,0,4.97837026325909,0.00585035770850532,6.63685228053669E-09,-0.000200012242224391,0.051561915293179,-1.52612804186033E-08,0.0517818287178346,0,0,0,0,0,0,package://logic_urdf/meshes/Link_3.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://logic_urdf/meshes/Link_3.STL,,UR10e_3_ELBW-2;UR10e_3_CVR-4;UR10e_LA-2;UR10e_2_JNT-1;UR10e_2_CVR-1,Coordinate System3,Axis4,joint_3,revolute,0.0130528773762752,0.581033387846565,0.254748304369017,0,0.0347928578488272,0,Link_2,0,0,-1,200,3,-1.57,1.57,,,,,,,,
Link_4,0.038757,0.0032123,-0.16106,0,0,0,0.83842,0.0010339,-3.0338E-05,1.6348E-05,0.0009644,0.00012774,0.00096895,0,0,0,0,0,0,package://logic_urdf/meshes/Link_4.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://logic_urdf/meshes/Link_4.STL,,UR10e_2_JNT-2;UR10e_2_CVR-2,Coordinate System4,Axis8,joint_4,revolute,0.56474,0.000388,-0.0090716,0,0.23313,0,Link_3,-0.23103,0,0.97295,200,3,-1.57,1.57,,,,,,,,
Link_5,0.00340385985301095,0.000485245565873177,0.165853929608396,0,0,0,0.838415772574633,0.00096591824106628,1.04503232632636E-05,-0.000129924206136089,0.00103628698163325,1.88987381158496E-05,0.000965067812306471,0,0,0,0,0,0,package://logic_urdf/meshes/Link_5.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://logic_urdf/meshes/Link_5.STL,,UR10e_2_JNT-3;UR10e_2_CVR-3,Coordinate System6,Axis6,joint_5,revolute,0.039855,-0.05588,-0.16569,-1.5708,0,0,Link_4,0,0,-1,100,2,-1.57,1.57,,,,,,,,
Link_6,0.00017986,-4.4952E-05,-0.13062,0,0,0,0.15932,8.2239E-05,1.0723E-06,8.7279E-08,8.7571E-05,4.5096E-07,0.00014976,0,0,0,0,0,0,package://logic_urdf/meshes/Link_6.STL,0.75686,0.76863,0.75294,1,0,0,0,0,0,0,package://logic_urdf/meshes/Link_6.STL,,UR10e_TF-1,Coordinate System5,Axis7,joint_6,revolute,-0.055073,0.0089909,0.17061,-1.5708,0,1.4264,Link_5,0,0,1,50,2,0,3.142,,,,,,,,
