Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000474715962777567,6.93145970603881E-06,0.0184356040161808,0,0,0,0.709508215614969,0.0011478116985688,-4.68221897322195E-08,-2.94406358458422E-07,0.00117554092618515,7.86804297850396E-08,0.00215046347527902,0,0,0,0,0,0,package://comp_urdf/meshes/base_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://comp_urdf/meshes/base_link.STL,,UR10e_B-1,Coordinate System7,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
forearm_link,-0.000417233365235116,0.00888009827122128,0.124469861337945,0,0,0,3.43106194081477,0.0111617708406248,3.09959483396505E-05,5.31668350767469E-05,0.0105036381492035,-0.00112997578589279,0.010871929422939,0,0,0,0,0,0,package://comp_urdf/meshes/forearm_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://comp_urdf/meshes/forearm_link.STL,,UR10e_4_JNT-1;UR10e_4_CVR-1,Coordinate System7,Axis2,elbow_joint,revolute,0,0,0,0,0,0,base_link,0,0,1,300,3,0,3.142,,,,,,,,
upper_arm_link,-6.62224629993657E-09,0.28802787480159,0.0640817195010175,0,0,0,5.76599130819734,0.0535929953325424,8.47398220857675E-09,7.00144499668487E-12,0.00779524282404847,1.33162859228414E-11,0.0538769711405667,0,0,0,0,0,0,package://comp_urdf/meshes/upper_arm_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://comp_urdf/meshes/upper_arm_link.STL,,UR10e_3_JNT-1;UR10e_3_CVR-1;UR10e_LA-1;UR10e_3_JNT-2;UR10e_3_CVR-3,Coordinate System8,Axis1,shoulder_lift_joint,revolute,-0.0101858973806342,0.216387045535597,0.130478612153435,1.5707963267949,0,0.0470378619132535,forearm_link,0,0,-1,200,3,-1.57,1.57,,,,,,,,
shoulder_link,0.246257123036129,0.000387829297030517,-0.0649023298137923,0,0,0,4.9783657227357,0.00585036080732032,7.22224374882084E-09,-0.000200011865076566,0.0515619149330909,-1.51826514200711E-08,0.0517818330994382,0,0,0,0,0,0,package://comp_urdf/meshes/shoulder_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://comp_urdf/meshes/shoulder_link.STL,,UR10e_3_ELBW-2;UR10e_3_CVR-4;UR10e_LA-2;UR10e_2_JNT-1;UR10e_2_CVR-1,Coordinate System3,Axis4,shoulder_pan_joint,revolute,0.0063581,0.58103,0.25509,0,0,0,upper_arm_link,0,0,-1,200,3,-1.57,1.57,,,,,,,,
wrist_1_link,-0.00729201114161204,0.00321226648515305,-0.165501856115684,0,0,0,0.838416602115169,0.00103764590945858,6.1678427639782E-06,-3.41912063311227E-06,0.000964399283407107,0.000131146780291306,0.000965228352749113,0,0,0,0,0,0,package://comp_urdf/meshes/wrist_1_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://comp_urdf/meshes/wrist_1_link.STL,,UR10e_2_JNT-2;UR10e_2_CVR-2,Coordinate System4,Axis8,wrist_1_joint,revolute,0.564743829482923,0.000387999999999611,-0.00907155684199396,0,-0.047037861913253,0,shoulder_link,0.0470205181465543,0,0.998893923734262,200,3,-1.57,1.57,,,,,,,,
wrist_2_link,0.00316291359897536,0.00112400113357214,0.165853987349071,0,0,0,0.838416617667643,0.000964562160489255,-3.45340251533492E-06,-0.000131146638582553,0.0010376441457871,-6.17073712451938E-06,0.000965067337323422,0,0,0,0,0,0,package://comp_urdf/meshes/wrist_2_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://comp_urdf/meshes/wrist_2_link.STL,,UR10e_2_JNT-3;UR10e_2_CVR-3,Coordinate System6,Axis6,wrist_2_joint,revolute,-0.00751539473194318,-0.055880128168008,-0.170248644566122,-1.5707963267949,0,0,wrist_1_link,0,0,-1,100,2,-1.57,1.57,,,,,,,,
wrist_3_link,-0.000179863916993997,4.49520242068457E-05,-0.130619960084231,0,0,0,0.159318680768655,8.22388819037709E-05,1.07234039350636E-06,-8.72789593286878E-08,8.75708445167452E-05,-4.50954495110317E-07,0.000149755722717753,0,0,0,0,0,0,package://comp_urdf/meshes/wrist_3_link.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://comp_urdf/meshes/wrist_3_link.STL,,UR10e_TF-1,Coordinate System5,Axis7,wrist_3_joint,revolute,-0.0558641230465918,-0.0016544926574682,0.170606030818962,1.57079632679489,0,-1.52375846488164,wrist_2_link,0,0,1,50,2,0,3.142,,,,,,,,
